Name,M/R,Type,Passive,Q,W,E,R,#1 player,#2 player,#3 player,#4 player,#5 player
Irelia,M,Fighter/Assassin,"Ionian Fervor: Reduces the duration of all disables for each nearby enemy champion. 1 Champion: 10%, 2 Champions: 25%, 3 Champions: 40%","Bladesurge: Irelia dashes forward to strike her target. If it kills the target, Bladesurge's cooldown refreshes and refunds 35 Mana.","Hiten Style: Irelia is skilled in the art of Hiten, passively giving her physical attacks Health restoration. Activating Hiten Style doubles her Health restoration and gives her basic attacks true damage.","Equilibrium Strike: Irelia's attack balances the scales, dealing damage and slowing the target. However, if the target has a higher Health % than Irelia, then the blow stuns the target instead of slowing.",Transcendent Blades: Irelia summons 4 spirit blades that she can fling to deal physical damage and siphon life from enemies they pass through.,	Aileri #KR1,XXXXXXXXY1 #EUW,김도현 #토근이,,
Ivern,,,,,,,,미미짱짱세용 #0524,Łanz #EUW,MaxouTigrou #BELG,,
Janna,R,Support/Mage,Tailwind: Increases the Movement Speed of all allied champions moving towards Janna by 8%.,"Howling Gale: By creating a localized change in pressure and temperature, Janna is able to create a small storm that grows in size with time. She can activate the spell again to release the storm. On release this storm will fly towards the direction it was cast in, dealing damage and knocking away any enemies in its path.",Zephyr: Janna summons an air elemental that passively increases her Movement Speed and enables her to pass through units. She may also activate this ability to deal damage and slow an enemy's Movement Speed. The passive is lost while this ability is on cooldown.,Eye of the Storm: Janna conjures a defensive gale that shields an ally champion or turret from incoming damage and increases their Attack Damage.,"Monsoon: Janna surrounds herself in a magical storm, throwing enemies back. After the storm has settled, soothing winds heal nearby allies while the ability is active.",KindheartedQueen #Gentl,刘宇轩是牛屎粑粑 #prs,	YiH0NG PENG #HAHA,,
Jarvan IV,M,Tank/Fighter,Martial Cadence: Jarvan IV's initial basic attack on a target deals bonus physical damage. This effect cannot occur again on the same target for a short duration.,"Dragon Strike: Jarvan IV extends his lance, dealing physical damage and lowering the Armor of all enemies in its path. Additionally, this will pull Jarvan to his Demacian Standard, knocking up enemies in his path.",Golden Aegis: Jarvan IV calls upon the ancient kings of Demacia to shield him from harm and slow surrounding enemies.,"Demacian Standard: Jarvan IV carries the pride of Demacia, passively granting him bonus Attack Speed. Activating Demacian Standard allows Jarvan IV to place a Demacian flag that deals magic damage on impact and grants Attack Speed to nearby allied champions.",Cataclysm: Jarvan IV heroically leaps into battle at a target with such force that he terraforms the surrounding area to create an arena around them.,	Agurin #DND,	Umbreon #glow,	RaYn #one,v,
Jax,M,Fighter/Assassin,Relentless Assault: Jax's consecutive basic attacks continuously increase his Attack Speed.,"Leap Strike: Jax leaps toward a unit. If they are an enemy, he strikes them with his weapon.","Empower: Jax charges his weapon with energy, causing his next attack to deal additional damage.","Counter Strike: Jax's combat prowess allows him to dodge all incoming attacks for a short duration and then quickly counterattack, stunning all surrounding enemies.","Grandmaster's Might: Every third consecutive attack deals additional Magic Damage. Additionally, Jax can activate this ability to strengthen his resolve, increasing his Armor and Magic Resist for a short duration.",기리보이혁갓 #아입니두,"
抖音薇信tonytoppwd #pwdd",이면안됩니다 #5555,,
Jayce,M,Fighter/Marksman,Hextech Capacitor: Gains 40 Movement Speed for 1.25 seconds and can move through units each time Transform is cast.,To the Skies/Shock Blast: Hammer Stance - Leaps to an enemy dealing physical damage and slowing enemies. Cannon Stance - Fires an orb of electricity that detonates upon hitting an enemy (or reaching the end of its path) dealing physical damage to all enemies in the area of the explosion.,"Lightning Field/Hyper Charge: Hammer Stance - Passively restores Mana per strike. Actively creates a field of lightning damaging nearby enemies for several seconds. Cannon Stance - Gains a burst of energy, increasing Attack Speed to maximum for several attacks.","Thundering Blow/Acceleration Gate: Hammer Stance - Deals magic damage and knocks them back a short distance. Cannon Stance - Deploys an Acceleration Gate increasing the Movement Speed of all allies who pass through it. If Shock Blast is fired through the gate the missile speed, range, and damage will increase.",Mercury Cannon/Hammer: Hammer Stance - Transforms into the Cannon gaining new abilities and increased range. The first attack in this form reduces the target's Armor and Magic Resist. Cannon Stance - Transforms into the Hammer gaining new abilities and increasing Armor and Magic Resist. The first attack in this form deals additional magic damage.,Frog #DRX,래그돌 고양이 #1811,자신감을잃지말자 #KR1,,
Jhin,,,,,,,,Creepano #gfghs,"
meviusskybluelon #gs6mg",Pinki #PPPPP,,
Jinx,R,Marksman,"Get Excited: Jinx receives massively increased Movement Speed whenever she damages an enemy champion, tower, or inhibitor that is then killed or destroyed within 3 seconds.","Switcheroo: Jinx modifies her basic attacks by swapping between Pow-Pow, her minigun and Fishbones, her rocket launcher. Attacks with Pow-Pow grant Attack Speed, while attacks with Fishbones deal area of effect damage, gain increased range, and drain Mana.","Zap: Jinx uses Zapper, her shock pistol, to fire a blast that deals damage to the first enemy hit, slowing and revealing it if it is not stealthed.","Flame Chompers: Jinx throws out a line of snare grenades that explode after 5 seconds, lighting enemies on fire. Flame Chompers will bite enemy champions who walk over them, rooting them in place.","Super Mega Death Rocket: Jinx fires a super rocket across the map that gains damage as it travels. The rocket will explode upon colliding with an enemy champion, dealing damage to it and surrounding enemies based on their missing Health.",	SIXTY5 #EUW,	Pinki #PPPPP,	CCblue #KR1,,
Ksante,,,,,,,,막강주니 #KR1,Makima #支 配,소 중 #유튜브,,
Kaisa,,,,,,,,폭주기니 #0615,뭘 봐 #kr07,	SIXTY5 #EUW,,
Kalista,R,Marksman,Martial Poise: Enter a movement command while winding up Kalista's basic attack or Pierce to lunge a short distance when she launches her attack.,Pierce: Throw a fast moving spear that passes through enemies it kills.,"Sentinel: Passively deal bonus damage when striking the same target as the Oathsworn ally. Activate to send a soul to patrol a path, revealing the area in front of it.","Rend: Attacks impale their targets with spears. Activate to rip the spears out, slowing and dealing escalating damage.","Fate's Call: Kalista teleports the Oathsworn ally to herself. They gain the ability to dash toward a position, knocking enemy champions back.",Mirrai #025,leon123ali #7171,	ilaymatur #1111,,
Karma,R,Mage/Support,Gathering Fire: Reduces Mantra's cooldown each time Karma damages an enemy champion with one of her abilities (Half-effect for Karma's basic attacks),"Inner Flame: Karma sends forth a ball of spirit energy that explodes and deals damage upon hitting an enemy unit. Mantra Bonus: In addition to the explosion, Mantra increases the destructive power of her Inner Flame, creating a cataclysm which deals damage after a short delay.","Forced Resolve: Karma creates a tether between herself and a targeted enemy, dealing damage over time and revealing them. If the tether is not broken, the enemy will be rooted. Mantra Bonus: Karma strengthens the link, healing herself and extending the root duration.","Inspire: Karma summons a protective shield that absorbs incoming damage and increases the Movement Speed of the protected ally. Mantra Bonus: Energy radiates out from her target, strengthening the initial shield and applying Inspire to nearby allied champions.",Mantra: Karma empowers her next ability to do an additional effect. Mantra is available at level 1 and does not require a skill point.,Autumn Leaf #Seal,	4 Fun 4 Support #Hook,	DONT GET C #EUW,,
Karthus,R,Mage,"Death Defied: Upon dying, Karthus enters a spirit form that allows him to continue casting spells while dead for 7 seconds.","Lay Waste: Karthus unleashes a delayed blast at a location, dealing damage to nearby enemies.",Wall of Pain: Karthus creates a passable screen of leeching energy. Any enemy units that walk through the screen have their Movement Speed and Magic Resist reduced for a period.,"Defile: Karthus passively steals energy from his victims, gaining Mana on each kill. Alternatively, Karthus can surround himself in the souls of his prey, dealing damage to nearby enemies, but quickly draining his own Mana.","Requiem: After channeling for 3 seconds, Karthus deals damage to all enemy champions.",krnoob #lcm,抖音鹏鹏426 #426,	FA ing #0969,,
Kassadin,M,Assassin/Mage,Void Stone: Kassadin takes 15% reduced magic damage and ignores unit collision.,"Null Sphere: Kassadin fires an orb of void energy at a target, dealing damage and interrupting channels. The excess energy forms around himself, granting a temporary shield that absorbs magic damage.",Nether Blade: Passive - Kassadin's basic attacks deal bonus magic damage. Active - Kassadin's next basic attack deals significant bonus magic damage and restores Mana.,"Force Pulse: Kassadin draws energy from spells cast in his vicinity. Upon charging up, Kassadin can use Force Pulse to damage and slow enemies in a cone in front of him.",Riftwalk: Kassadin teleports to a nearby location dealing damage to nearby enemy units. Multiple Riftwalks in a short period of time cost additional Mana but also deal additional damage.,k6ss9din #6996,	TTV CloudV2 #Gort,	abstention #0001,,
Katarina,M,Assassin/Mage,Voracity: Katarina's spell cooldowns are reduced by 15 seconds whenever a champion that she has damaged in the last 3 seconds dies.,"Bouncing Blades: Katarina throws a dagger that bounces from enemy to enemy, dealing magic damage and marking them. Her next spell or basic attack against a marked target will consume the mark and deal additional magic damage.","Sinister Steel: Katarina whirls her daggers around her, dealing magic damage to all enemies in the area. If she hits an enemy Champion, Katarina gains a burst of speed for a short duration.","Shunpo: Katarina instantly teleports to her target's location and takes reduced damage from enemies for a few seconds. If the target is an enemy, she deals damage.","Death Lotus: Katarina becomes a flurry of blades, throwing daggers with unrivaled speed at up to three nearby Champions. Daggers deal magic damage and reduce incoming healing on targets hit.",	TwTv Keksereslol #katar,"
RAIKO TE OWN MDR #kata",	TwTv Keksereslol #Kata,,
Kayle,M,Fighter/Support,"Holy Fervor: When Kayle attacks a champion, the target loses 3% Armor and Magic Resistance for 5 seconds. This effect stacks up to 5 times.","Reckoning: Blasts an enemy unit with angelic force, dealing damage, slowing Movement Speed, and applying Holy Fervor.","Divine Blessing: Blesses a target friendly champion, granting them increased Movement Speed and healing them.","Righteous Fury: Passive - Grants Kayle on Hit magic Damage. Activate - Ignite Kayle's sword with a holy flame, granting Kayle a ranged splash attack and bonus magic damage.","Intervention: Shields Kayle or an ally for a short time, causing them to be immune to damage.",	DesperateNasus #TTV0,pyke925 #1440,FARM INTO PENA #WIN,,
Kayn,,,,,,,,"
GOODNIGHT MATYI #smile",	抖音鹏鹏426 #426,KarasmaiGOD #171XO,,
Kennen,R,Mage/Marksman,"Mark of the Storm: Kennen's abilities add a Mark of the Storm to its target for 6.25 seconds. Upon receiving 3 Marks of the Storm, an opponent is stunned for 1.25 seconds and Kennen gains 25 Energy. ","Thundering Shuriken: Kennen throws a fast moving shuriken towards a location, causing damage and adding a Mark of the Storm to any opponent that it hits.","Electrical Surge: Kennen passively deals extra damage and adds a Mark of the Storm to his target every few attacks, and he can activate this ability to damage and add another Mark of the Storm to targets who are already marked.","Lightning Rush: Kennen morphs into a lightning form, enabling him to pass through units. Any enemy unit he runs through takes damage and gets a Mark of the Storm.",Slicing Maelstrom: Kennen summons a storm that strikes at random nearby enemy champions for magical damage.,MaRin #Pro,	Kemseptyni #EUW,	DOOR #555,,
Kha'Zix,M,Assassin/Fighter,"Unseen Threat: When Kha'Zix is not visible to the enemy team, he gains Unseen Threat, causing his next basic attack against an enemy Champion to deal bonus magic damage and slow.","Taste Their Fear: Kha'Zix passively marks enemies that are isolated from nearby allies. TTF deals physical damage to a single target. Damage increased on isolated targets. If he chooses to Evolve Enlarged Claws, this deals extra bonus damage against isolated targets. Kha'Zix also gains increased range.","Void Spike: Kha'Zix fires exploding spikes that slow and deal physical damage to all nearby enemies. Kha'Zix is healed if he is also within the explosion radius. If he chooses to Evolve Spike Racks, Void Spike fires three spikes in a cone and Void Spike's slow effect is increased.","Leap: Kha'Zix leaps to an area, dealing physical damage upon landing. If he chooses to Evolve Wings, Leap's range increases dramatically. Also, on champion kill or assist, Leap's cooldown resets.","Void Assault: Each rank allows Kha'Zix to evolve one of his abilities, giving it a unique additional effect. When activated, Void Assault stealths Kha'Zix, triggers Unseen Threat, and increases Movement Speed. If he chooses to Evolve Active Camouflage, Void Assault can be cast three times and stealth duration increased.",The Face Farter #EUW,Kaido #m24,DETDERT IS HERE #TRNUP,,
Kindred,R,Marksman,Mark of the Kindred: Kindred can mark targets to Hunt. Successfully completing a Hunt permanently empowers Kindred's basic attacks.,Dance of Arrows: Kindred tumbles and shoots up to three arrows at nearby targets.,Wolf's Frenzy: Wolf enrages and attacks enemies around him.,"Mounting Dread: Lamb fires a carefully placed shot, slowing the target. If Lamb attacks the target two more times, her third attack instead directs Wolf to pounce on the enemy, savaging them for massive damage.","Lamb's Respite: Lamb grants all living things inside a zone a respite from death. Until the effect ends, nothing can die. At the end, units are healed.",	Arkfly #Lamb,	liangxinlove #eris,	용 태 #1120,,
Kled,,,,,,,,	CaptBear #NA1,	GoBGG #GoBGG,	Kemseptyni #EUW,,
Kog'Maw,R,Marksman/Mage,"Icathian Surprise: Upon dying, Kog'Maw starts a chain reaction in his body which causes him to move faster and detonate after 4 seconds; dealing 100 + (25 x lvl) true damage to surrounding enemies.",Caustic Spittle: Passive - Increases Kog'Maw's Attack Speed. Active - Kog'Maw launches a corrosive projectile which deals Magic Damage and corrodes the target's Armor and Magic Resist for 4 seconds.,Bio-Arcane Barrage: Kog'Maw's attacks gain range and deal a percent of the target's maximum Health as Magic Damage.,Void Ooze: Kog'Maw launches a peculiar ooze which damages all enemies it passes through and leaves a trail which slows enemies who stand on it.,"Living Artillery: Kog'Maw fires a living artillery shell at a great distance dealing damage and revealing non-stealthed targets. Additionally, multiple Living Artilleries in a short period of time cause them to cost additional Mana.",Koggle #mania,nimifan #NIGHT,제로음료는기집년들이나먹는거지 #1111,,
LeBlanc,R,Assassin/Mage,"Mirror Image: When LeBlanc drops below 40% Health, she becomes invisible for 1 second and creates a Mirror Image that deals no damage and lasts for up to 8 seconds. Mirror Image has a 1 minute cooldown","Sigil of Malice: LeBlanc projects an orb towards her target, dealing magic damage and marking the target for 3.5 seconds. If the target takes damage from one of LeBlanc's abilities, the sigil will trigger, dealing damage.","Distortion: LeBlanc rapidly dashes to a target location, dealing magic damage to nearby units. In the following 4 seconds, she can activate Distortion again to return to her starting location.","Ethereal Chains: LeBlanc flings illusionary chains towards a target location. If it hits an enemy unit, it will deal initial magic damage and slow their Movement Speed by 25%. If the target remains shackled for 2 seconds, the target takes additional magic damage and is unable to move for 1.5 seconds.",Mimic: LeBlanc can cast a mimicked version of the previous spell she cast.,MacMillerEnjoyer #Carti,ΛŁΣX #ZIZON, NoGodComplex #back,,
Lee Sin,M,Fighter/Assassin,"Flurry: After Lee Sin uses an ability, his next 2 basic attacks gain 40% Attack Speed and return 20/10 Energy.","Sonic Wave/Resonating Spike: SW - Lee Sin projects a discordant wave of sound to locate his enemies, dealing physical damage to the first enemy it encounters. If SW hits, Lee Sin can cast RS (dashes to the enemy hit dealing physical damage plus 8% of their missing Health) for the next 3 seconds. ","Safeguard/Iron Will: Safeguard - Lee Sin rushes towards a target ally, shielding himself from damage. If the ally is a champion, they are also shielded. After using Safeguard, Lee Sin can cast IW for the next 3 seconds. IW gives Lee Sin Life Steal and Spell Vamp.","Tempest/Cripple: Tempest - Lee Sin smashes the ground, sending out a shockwave that deals magic damage and reveals enemy units hit. If Tempest hits an enemy, Lee Sin can cast cripple (reducing their Movement Speed for 4 seconds) for the next 3 seconds.","Dragon's Rage: Lee Sin performs a powerful roundhouse kick launching his target back, dealing physical damage to the target and any enemies they collide with. Enemies the target collides with are knocked into the air for a short duration. ",lakcaj #kr2,Koldo #1233,	Radiohead #KR1,,
Leona,M,Tank/Support,"Sunlight: Damaging spells afflict enemies with Sunlight for 3.5 seconds. When allied Champions deal damage to those targets, they consume the Sunlight debuff to deal additional magic damage.","Shield of Daybreak: Leona uses her shield to perform her next basic attack, dealing bonus magic damage and stunning the target.","Eclipse: Leona raises her shield to gain Armor and Magic Resistance. When the duration first ends, if there are nearby enemies, she will deal magic damage to them and prolong the duration of the effect.","Zenith Blade: Leona projects a solar image of her sword, dealing magic damage to all enemies in a line. When the image fades, the last enemy champion struck will be briefly immobilized and Leona will dash to them.","Solar Flare: Leona calls down a beam of solar energy, dealing damage to enemies in an area. Enemies in the center of the area are stunned, while enemies on the outside are slowed.",ZY77 oo 7YZZ #DJIAI,"
C1tyN3v3rSL9eps #1337x",Crimsonating #NA1,,
Lillia,,,,,,,,Coach Kirei #Coach,	D4SH #0001,	KipixV2 #EUW,,
Lissandra,R,Mage,Iceborn: Every 18 seconds Lissandra's next ability costs no Mana. This cooldown is reduced by 1 second whenever Lissandra impairs an enemy's movement with an ability (does not apply to movement-impairing effects from items).,"Ice Shard: Throws a spear of ice that shatters when it hits an enemy, dealing magic damage and slowing Movement Speed. Shards pass through the target, dealing the same damage to other enemies hit.","Ring of Frost: Freezes nearby enemies in ice, dealing magic damage and rooting them.",Glacial Path: Lissandra creates an ice claw that deals magic damage. Reactivating this ability transports Lissandra to the claw's current location.,"Frozen Tomb: If cast on an enemy champion, the target is frozen solid, stunning it. If cast on Lissandra, she encases herself in dark ice, becoming untargetable and invulnerable. Dark ice then emanates from the target dealing magic damage to enemies and slowing Movement Speed.",传奇传奇 #KR999,eternity #eme1,	미미짱팬 #KR1,,
Lucian,R,Marksman,"Lightslinger: Whenever Lucian uses an ability, his next attack becomes a double-shot.",Piercing Light: Lucian shoots a bolt of piercing light through a target.,"Ardent Blaze: Lucian shoots a missile that explodes in a star shape, marking enemies. Lucian gains Movement Speed for attacking marked enemies.",Relentless Pursuit: Lucian quickly dashes a short distance. Lightslinger attacks reduce Relentless Pursuit's cooldown.,The Culling: Lucian unleashes a torrent of shots from his weapons.,심장을 바쳐라 #KR625,KISS OF DEATH #YEN,해 숑 #1129,,
Lulu,R,Support/Mage,"Pix, Faerie Companion: Pix is a wild Faerie that accompanies Lulu. Pix will fire a barrage of magical energy at targets that Lulu attacks.",Glitterlance: Pix and Lulu each fire a bolt of magical energy that heavily slows all enemies it hits. An enemy can only be damaged by one bolt.,"Whimsy: If cast on an ally, grants them Movement Speed for a short time. If cast on an enemy, turns them into an adorable critter that can't attack or cast spells.","Help, Pix: If cast on an ally, commands Pix to jump to an ally and shield them. He then follows them and aids their attacks. If cast on an enemy, commands Pix to jump to an enemy and damage them. He then follows them and grants you vision of that enemy.","Wild Growth: Lulu enlarges an ally, knocking nearby enemies into the air and granting the ally a large amount of bonus health. For the next few seconds, that ally gains an aura that slows nearby enemies.",Kittxnly #Luna,Emilia In Paris #oui,	sS2z #KR1,,
Lux,R,Mage/Support,"Illumination: Lux's damaging spells charge the target with energy for 6 seconds. Lux's next attack ignites the energy, dealing bonus magic damage (depending on Lux's level) to the target.",Light Binding: Lux releases a sphere of light that binds and deals damage to up to two enemy units.,"Prismatic Barrier: Lux throws her wand and bends the light around any friendly target it touches, protecting them from enemy damage.","Lucent Singularity: Fires an anomaly of twisted light to an area, which slows nearby enemies. Lux can detonate it to damage enemies in the area of effect.","Final Spark: After gathering energy, Lux fires a beam of light that deals damage to all targets in the area. In addition, triggers Lux's passive ability and refreshes the Illumination debuff duration.",Cupic #Hwei,Yozu #Lux,	Season of Leaves #Fall,,
Malphite,M,Tank/Fighter,"Granite Shield: Malphite is shielded by a layer of rock which absorbs damage up to 10% of his maximum Health. If Malphite has not been hit for 10 seconds, this effect recharges.","Seismic Shard: Using his primal elemental magic, Malphite sends a shard of the earth through the ground at his foe, dealing damage upon impact and stealing Movement Speed for 4 seconds.",Brutal Strikes: Malphite starts to hit with such force that his attacks deal damage to all units in front of him. Passively increases his Armor.,"Ground Slam: Malphite slams the ground, sending out a shockwave that deals magic damage based on his Armor as damage and reduces the Attack Speed of enemies for a short duration.","Unstoppable Force: Malphite ferociously charges to a location, damaging enemies and knocking them into the air.",김장미씨 #KR1,	NOREJOICE #NA1,Trukess #666,,
Malzahar,R,Mage/Assassin,"Summon Voidling: After casting 4 spells, Malzahar summons an uncontrollable Voidling to engage enemy units for 21 seconds. Voidlings have 200 + 50 x lvl Health and 20 + 5 x lvl Attack Damage.","Call of the Void: Malzahar opens up two portals to the Void. After a short delay, they fire projectiles that deal Magic Damage and silence enemy champions.",Null Zone: Malzahar creates a zone of negative energy which damages enemies that stand in it.,"Malefic Visions: Malzahar infects his target's mind with cruel visions of their demise, dealing damage each second. If the target dies while afflicted by the visions, they pass on to a nearby enemy unit and Malzahar gains Mana. Malzahar's Voidlings are attracted to affected units.",Nether Grasp: Malzahar channels the essence of the Void to suppress an enemy champion and deal damage each second.,	laabuk #0124,	papabear68 #bala,tinman77 #TTV,,
Maokai,M,Tank/Mage,"Sap Magic: Each time a spell is cast near Maokai he draws energy from it, gaining a charge of Magical Sap. When Maokai has 5 charges his next basic attack heals him for a percentage of his max Health.","Arcane Smash: Maokai knocks back nearby enemies with a shockwave, dealing magic damage and slowing them.","Twisted Advance: Maokai dissolves into a cloud of arcane energies. He regrows near a target enemy, dealing damage and rooting it in place.","Sapling Toss: Maokai flings a sapling that deals area damage on impact. The sapling then wards the nearby area. When enemies approach, the sapling attacks enemies with an arcane blast.","Vengeful Maelstrom: Maokai shields his allies by drawing power from hostile spells and attacks, reducing non-tower damage done to allied champions in the area. When Maokai ends the effect, he unleashes the absorbed energy to deal damage to enemies within the vortex.",	Special Kay #NA1,	바켱낙 #KR1,Ubitt #KR1,,
Master Yi,M,Assassin/Fighter,"Double Strike: Every few strikes, Master Yi strikes twice.","Alpha Strike: Master Yi teleports across the battlefield with blinding speed, dealing physical damage to multiple units in his path, while simultaneously becoming untargetable. Alpha Strike can critically strike and deals bonus physical damage to minions and monsters. ","Meditate: Master Yi rejuvenates his body by focus of mind, restoring Health and taking reduced damage for a short time.
","Wuju Style: Master Yi becomes skilled in the art of Wuju, passively increasing his Attack Damage. Activating Wuju Style grants bonus true damage on basic attacks, but the passive bonus is then lost while on cooldown.","Highlander: Master Yi moves with unparalleled agility, temporarily increasing his Movement and Attack Speeds as well as making him immune to all slowing effects. While active, Champion kills or assists extends Highlander's duration. Passively reduces cooldown for his other abilities on a kill or assist.",Coach Sinerias #ART,용공주 #金有彬,wudizhubao #小何的枪,,
Mel,,,,,,,,	Nyxes #0001,Season of Leaves #Fall,eLS Louis #atlas,,
Milio,,,,,,,,	Emilia In Paris #oui,	1213423 #KR1,NotSporks #0131,,
Miss Fortune,R,Marksman,"Strut: After 5 seconds of not taking direct damage, Miss Fortune gains an additional 25 Movement Speed. This bonus increases by 8 each second up to a maximum bonus of 70.","Double Up: Miss Fortune fires a bullet at an enemy, damaging them and a target behind them.",Impure Shots: Miss Fortune passively increases damage dealt to a target with each strike. This ability can be activated to increase Miss Fortune's Attack Speed and grant her Strut.,"Make It Rain: Miss Fortune unleashes a flurry of bullets at a location, dealing waves of damage to opponents and slowing them.
","Bullet Time: Miss Fortune channels a flurry of bullets into a cone in front of her, dealing large amounts of damage to enemies.",NASA #쟁 구,	Daksider #FOCUS,Daviß #EUW,,
Mordekaiser,M,Fighter/Mage,"Iron Man: A percent of the damage dealt from abilities is converted into a temporary shield, absorbing incoming damage.",Mace of Spades: Mordekaiser's next three attacks deal escalating bonus damage.,"Harvesters of Sorrow: Coats an ally in magnetic metal, increasing each champion's movement speed toward one another. While near to one another, the metal swirls violently dealing damage per second to enemies.","Siphon of Destruction: Mordekaiser deals damage to enemies in a cone in front of him. For each unit hit, Mordekaiser's shield absorbs energy.","Children of the Grave: Mordekaiser curses an enemy champion or the Dragon, stealing a percent of their life initially and each second. If the target dies while the spell is active, their soul is enslaved and will follow Mordekaiser as a ghost.
",	JW7 #JW7,Cryoxx #EUW,Kashtira Fenrir #EARTH,,
Morgana,R,Mage/Support,"Soul Siphon: Morgana has Spell Vamp, healing herself whenever she deals damage with her spells.","Dark Binding: Morgana releases a sphere of dark magic. Upon contact with an enemy unit, the sphere will deal magic damage and force the unit to the ground for a period of time.","Tormented Soil: Infects an area with desecrated soil, causing enemy units who stand on the location to take continual damage.","Black Shield: Places a protective barrier around an allied champion, absorbing magical damage and disables until penetrated or the shield dissipates.","Soul Shackles: Latches chains of energy onto nearby enemy champions, dealing initial damage to them and slowing their Movement Speed, and then echoing the pain a few seconds later and stunning them if they remain close to Morgana.",	volumedown #VD1,	JN Zoned #EUW,Chris #102,,
Naafiri,,,,,,,,maturazlewusempl #LEWUS,	sknahS #VVUE,	JACKPOT #GAMBA,,
Nami,R,Support/Mage,Surging Tides: When Nami's abilities hit allied champions they gain Movement Speed for a short duration.,"Aqua Prison: Sends a bubble towards a targeted area, dealing damage and stunning all enemies on impact.","Ebb and Flow: Unleashes a stream of water that bounces back and forth between allies and enemies, healing allies and damaging enemies.",Tidecaller's Blessing: Empowers an allied champion for a short duration. The ally's basic attacks deal bonus magic damage and slow the target.,"Tidal Wave: Summons a massive Tidal Wave that knocks up, slows, and damages enemies. Allies hit gain double the effect of Surging Tides.",Nick Calathes #pass,	Emilia In Paris #oui,	sS2z #KR1,,
Nasus,M,Fighter/Tank,"Soul Eater: Nasus drains his foe's spiritual energy, giving him bonus Life Steal.","Siphoning Strike: Nasus strikes his foe, dealing damage and increasing the power of his future Siphoning Strikes if he slays his target.","Wither: Nasus ages an enemy champion, decelerating their Movement and Attack Speeds over time.","Spirit Fire: Nasus unleashes a spirit flame at a location, dealing damage and reducing the Armor of enemies who stand on it.","Fury of the Sands: Nasus unleashes a mighty sandstorm that batters nearby enemies. While the storm rages, he gains increased Health, Attack Range, and drains nearby enemies' max Health converting into bonus damage for the duration.",FrajerSSonek #EUW,	ContentGamer #Happy,	추억생성기 #KR1,,
Nautilus,M,Tank/Fighter,Staggering Blow: Nautilus' basic attacks deal bonus physical damage and immobilize his targets. This effect cannot happen more than once every few seconds on the same target.,"Dredge Line: Nautilus hurls his anchor forward. If it hits a champion, he drags both himself and the opponent close together. If it hits terrain, Nautilus instead pulls himself to the anchor and the cooldown of Dredge Line is reduced by half.","Titan's Wrath: Nautilus surrounds himself with dark energies, gaining a shield that blocks incoming damage. While the shield persists, his attacks apply a damage over time effect to enemies around his target.","Riptide: Nautilus slams the ground, causing the earth to explode around him in a set of three explosions. Each explosion damages and slows enemies.","Depth Charge: Nautilus fires a shockwave into the earth that chases an opponent. This shockwave rips up the earth above it, knocking enemies into the air. When it reaches the opponent, the shockwave erupts, knocking his target into the air and stunning them.",DNF Quantum #KR 1,	Rush B P90 #PT1,	KDKD #9999,,
Neeko,,,,,,,,Autumn Leaf #Seal,LOVE3000 #nadog,나는 고등학교에 가본 적이없어 #reze,,
Nidalee,R/M,Assassin/Fighter,"Prowl: Moving through brush increases Nidalee's Movement Speed by 10% for 2 seconds, increased to 30% toward visible enemy champions within 5500 range.","Javelin Toss/Takedown: In human form, Nidalee throws a spiked javelin at her target that gains damage as it flies. As a cougar, her next attack will attempt to fatally wound her target, dealing more damage the less life they have.","Bushwhack/Pounce: In human form, Nidalee lays a trap for unwary opponents that, when sprung, damages and reveals its target. As a cougar, she jumps in a direction, dealing damage in an area where she lands.","Primal Surge/Swipe: In human form, Nidalee channels the spirit of the cougar to heal her allies and imbue them with Attack Speed for a short duration. As a cougar, she claws in a direction, dealing damage to enemies in front of her.","Aspect Of The Cougar: Nidalee transforms into a cougar, gaining new abilities.",geonbu #0618,	dyxiaofang #1234,	ismααα #EUW,,
Nilah,,,,,,,,enryu #jia宝,Tomitch #EUW,くﾒ З #ﾑﾑﾑ,,
Nocturne,M,Assassin/Fighter,"Umbra Blades: Every 10 seconds, Nocturne's next attack strikes surrounding enemies for 120% physical damage and heals himself. ","Duskbringer: Nocturne throws a shadow blade that deals damage, leaves a Dusk Trail, and causes champions to leave a Dusk Trail. While on the trail, Nocturne can move through units and has increased Movement Speed and Attack Damage.","Shroud of Darkness: Nocturne empowers his blades, passively gaining Attack Speed. Activating Shroud of Darkness allows Nocturne to fade into the shadows, creating a magical barrier which blocks a single enemy ability and doubles his passive Attack Speed if successful.","Unspeakable Horror: Nocturne plants a nightmare into his target's mind, dealing damage each second and terrifying the target if they do not get out of range by the end of the duration.",Paranoia: Nocturne reduces the sight radius of all enemy champions and removes their ally vision in the process. He can then launch himself at a nearby enemy champion.,doo #0204,BIGRHINO #BIG,l Paradoxe l #EUW,,
